,NAME,STATE,STATEFP,COUNTYFP,NAMELSAD,POINT,SITE
0,Cuming,Nebraska,31,039,Cuming County,POINT (-96.985748 41.851967),66913
1,Wahkiakum,Washington,53,069,Wahkiakum County,POINT (-123.463028 46.366371),125299
2,De Baca,New Mexico,35,011,De Baca County,POINT (-104.26712 34.540672),16227
3,De Baca,New Mexico,35,011,De Baca County,POINT (-104.245026 34.542561),16228
4,De Baca,New Mexico,35,011,De Baca County,POINT (-104.222931 34.544441),16229
5,Lancaster,Nebraska,31,109,Lancaster County,POINT (-96.7229 40.75803),53954
6,Lancaster,Nebraska,31,109,Lancaster County,POINT (-96.723145 40.7766),54135
7,Lancaster,Nebraska,31,109,Lancaster County,POINT (-96.575378 40.703255),53444
8,Nuckolls,Nebraska,31,129,Nuckolls County,POINT (-98.26370199999999 40.012466),48360
9,Nuckolls,Nebraska,31,129,Nuckolls County,POINT (-98.239502 40.012989),48361
10,Nuckolls,Nebraska,31,129,Nuckolls County,POINT (-98.215332 40.013504),48362
11,Minnehaha,South Dakota,46,099,Minnehaha County,POINT (-96.475037 43.529781),87393
12,Minnehaha,South Dakota,46,099,Minnehaha County,POINT (-96.475159 43.548397),87651
13,Minnehaha,South Dakota,46,099,Minnehaha County,POINT (-96.475342 43.567009),87915
14,Menard,Texas,48,327,Menard County,POINT (-99.831238 31.082081),8452
15,Sierra,California,06,091,Sierra County,POINT (-120.007294 39.600407),73486
16,Sierra,California,06,091,Sierra County,POINT (-120.014404 39.618107),73681
17,Sierra,California,06,091,Sierra County,POINT (-120.0215 39.635803),73852
18,Clinton,Kentucky,21,053,Clinton County,POINT (-85.043762 36.71804),32677
19,Hancock,Ohio,39,063,Hancock County,POINT (-83.46530199999999 40.986912),65213
20,Hancock,Ohio,39,063,Hancock County,POINT (-83.46148700000001 41.005257),65464
21,Hancock,Ohio,39,063,Hancock County,POINT (-83.453796 41.041943),65994
22,Hale,Texas,48,189,Hale County,POINT (-101.858307 34.037491),13910
23,Hale,Texas,48,189,Hale County,POINT (-101.836304 34.038818),13911
24,Hale,Texas,48,189,Hale County,POINT (-101.814331 34.04015),13912
25,Clay,Alabama,01,027,Clay County,POINT (-86.003204 33.273392),12839
26,Armstrong,Texas,48,011,Armstrong County,POINT (-101.520142 34.754108),16335
27,Armstrong,Texas,48,011,Armstrong County,POINT (-101.499451 34.773636),16426
28,Armstrong,Texas,48,011,Armstrong County,POINT (-101.500977 34.791904),16525
29,Allen,Ohio,39,003,Allen County,POINT (-84.06622299999999 40.7188),61298
30,Allen,Ohio,39,003,Allen County,POINT (-84.04199199999999 40.716038),61299
31,Allen,Ohio,39,003,Allen County,POINT (-84.086792 40.739922),61507
32,McDuffie,Georgia,13,189,McDuffie County,POINT (-82.329285 33.350677),14292
33,Sauk,Wisconsin,55,111,Sauk County,POINT (-89.85839799999999 43.396961),88003
34,Sauk,Wisconsin,55,111,Sauk County,POINT (-89.75625599999999 43.391209),88004
35,Sauk,Wisconsin,55,111,Sauk County,POINT (-89.73071299999999 43.389759),88005
36,Stone,Arkansas,05,137,Stone County,POINT (-92.38385 35.853294),22802
37,Stone,Arkansas,05,137,Stone County,POINT (-92.361237 35.852467),22803
38,Stone,Arkansas,05,137,Stone County,POINT (-92.40548699999999 35.872478),22911
39,Wallowa,Oregon,41,063,Wallowa County,POINT (-117.186127 45.952145),119256
40,Wallowa,Oregon,41,063,Wallowa County,POINT (-117.712494 45.948273),119626
41,Wallowa,Oregon,41,063,Wallowa County,POINT (-117.686676 45.953262),119627
42,Beaver,Pennsylvania,42,007,Beaver County,POINT (-80.500305 40.570904),64971
43,Jasper,Mississippi,28,061,Jasper County,POINT (-89.161804 32.182022),10298
44,Henry,Missouri,29,083,Henry County,POINT (-93.93335 38.479279),40279
45,Henry,Missouri,29,083,Henry County,POINT (-93.909729 38.478802),40280
46,Henry,Missouri,29,083,Henry County,POINT (-93.88610799999999 38.478306),40281
