site_id,lat,lon,capacity,capacity_factor
45826,39.59523,-98.657349,16.0,0.39399999999999996
45827,39.59584,-98.633301,16.0,0.385
45828,39.596439,-98.609283,16.0,0.386
45914,39.61375,-98.658142,16.0,0.39299999999999996
45915,39.614357,-98.634094,16.0,0.385
45916,39.614964,-98.610077,16.0,0.39399999999999996
46003,39.631645,-98.682983,16.0,0.405
46004,39.632256,-98.658936,16.0,0.39399999999999996
46005,39.632877,-98.634888,16.0,0.39399999999999996
46006,39.633484,-98.61084,16.0,0.40700000000000003
46093,39.650162,-98.683777,16.0,0.41
46094,39.650784,-98.659729,16.0,0.40299999999999997
46095,39.651394,-98.635681,16.0,0.41100000000000003
46096,39.651997,-98.611633,16.0,0.42200000000000004
46172,39.6693,-98.660522,16.0,0.414
46173,39.669918,-98.636475,16.0,0.425
46174,39.670521,-98.612427,16.0,0.42700000000000005
47972,39.945915,-98.720917,16.0,0.48
47827,39.915154,-99.154907,16.0,0.449
47828,39.915871,-99.130737,16.0,0.44799999999999995
47967,39.930702,-99.252472,16.0,0.466
47968,39.931446,-99.228333,16.0,0.466
47969,39.933666,-99.155853,16.0,0.46299999999999997
47970,39.934399,-99.131714,16.0,0.455
47971,39.93512,-99.107544,16.0,0.43799999999999994
48093,39.94923,-99.253479,16.0,0.467
48094,39.949978,-99.229309,16.0,0.46299999999999997
48095,39.950729,-99.205139,16.0,0.45799999999999996
48096,39.952194,-99.156799,16.0,0.466
48097,39.952919,-99.132629,16.0,0.461
48227,39.968506,-99.230286,16.0,0.45
48228,39.972885,-99.085236,16.0,0.461
47251,39.824512,-99.657532,16.0,0.44799999999999995
47542,39.906227,-98.018066,16.0,0.41700000000000004
47543,39.906696,-97.993896,16.0,0.418
47685,39.924294,-98.042816,16.0,0.426
47686,39.924759,-98.018677,16.0,0.43
47687,39.925228,-97.994507,16.0,0.43
47688,39.925686,-97.970337,16.0,0.42100000000000004
47829,39.942345,-98.067627,16.0,0.431
47830,39.942825,-98.043457,16.0,0.435
47831,39.943298,-98.019287,16.0,0.441
47832,39.943764,-97.995087,16.0,0.43700000000000006
47833,39.944214,-97.970917,16.0,0.42700000000000005
47973,39.960884,-98.068237,16.0,0.426
47974,39.961357,-98.044067,16.0,0.428
47975,39.96183,-98.019897,16.0,0.43200000000000005
48098,39.979412,-98.068848,16.0,0.39899999999999997
48099,39.979893,-98.044678,16.0,0.39899999999999997
48100,39.980358,-98.020508,16.0,0.4
46434,39.734009,-98.277588,16.0,0.445
46544,39.752533,-98.278259,16.0,0.44299999999999995
46643,39.771057,-98.278961,16.0,0.445
46876,39.80864,-98.256226,16.0,0.47
46984,39.828197,-98.208649,16.0,0.473
46985,39.828697,-98.184509,16.0,0.46399999999999997
47109,39.846214,-98.233429,16.0,0.461
47110,39.846737,-98.20929,16.0,0.46
47111,39.847237,-98.185181,16.0,0.449
47252,39.865253,-98.209961,16.0,0.44
47253,39.865757,-98.185822,16.0,0.43
48229,39.993938,-98.263031,2.0,0.49
48230,39.994453,-98.238831,2.0,0.485
48231,39.994968,-98.214661,2.0,0.48
45447,39.52758,-98.390106,16.0,0.363
45448,39.528137,-98.366089,16.0,0.36200000000000004
45449,39.528675,-98.342102,16.0,0.36200000000000004
45549,39.54554,-98.414856,16.0,0.373
45550,39.546101,-98.390808,16.0,0.369
45551,39.54665,-98.366821,16.0,0.368
45552,39.547192,-98.342804,16.0,0.364
45651,39.564617,-98.391541,16.0,0.376
45652,39.56517,-98.367523,16.0,0.371
45653,39.565716,-98.343506,16.0,0.361
46432,39.732941,-98.325745,16.0,0.406
46433,39.733479,-98.301666,16.0,0.424
46542,39.751461,-98.326477,16.0,0.415
46543,39.752007,-98.302368,16.0,0.428
46641,39.769993,-98.327148,16.0,0.425
46642,39.770527,-98.30304,16.0,0.436
45917,39.615566,-98.586029,16.0,0.41600000000000004
46007,39.63409,-98.586792,16.0,0.41700000000000004
46097,39.652603,-98.587585,16.0,0.41600000000000004
46545,39.768848,-97.338257,16.0,0.495
46644,39.78643,-97.411011,16.0,0.475
46877,39.821438,-97.556641,16.0,0.451
46986,39.83923,-97.605377,14.0,0.439
