,NAME,STATE,STATEFP,COUNTYFP,NAMELSAD,POINT,SITE
0,Cuming,Nebraska,31,039,Cuming County,POINT (-96.985748 41.851967),66913
1,Wahkiakum,Washington,53,069,Wahkiakum County,POINT (-123.463028 46.366371),125299
2,De Baca,New Mexico,35,011,De Baca County,POINT (-104.088074 34.537392),16142
3,De Baca,New Mexico,35,011,De Baca County,POINT (-104.13678 34.57011),16316
4,De Baca,New Mexico,35,011,De Baca County,POINT (-104.15712 34.733997),17317
5,Lancaster,Nebraska,31,109,Lancaster County,POINT (-96.723145 40.7766),54135
6,Lancaster,Nebraska,31,109,Lancaster County,POINT (-96.575378 40.703255),53444
7,Lancaster,Nebraska,31,109,Lancaster County,POINT (-96.7229 40.75803),53954
8,Nuckolls,Nebraska,31,129,Nuckolls County,POINT (-98.216003 40.032036),48472
9,Nuckolls,Nebraska,31,129,Nuckolls County,POINT (-98.26370199999999 40.012466),48360
10,Nuckolls,Nebraska,31,129,Nuckolls County,POINT (-98.215332 40.013504),48362
11,Minnehaha,South Dakota,46,099,Minnehaha County,POINT (-96.475342 43.567009),87915
12,Minnehaha,South Dakota,46,099,Minnehaha County,POINT (-97.096497 43.804649),91048
13,Minnehaha,South Dakota,46,099,Minnehaha County,POINT (-97.121582 43.767155),90675
14,Menard,Texas,48,327,Menard County,POINT (-99.831238 31.082081),8452
15,Sierra,California,06,091,Sierra County,POINT (-120.095978 39.695629),74604
16,Sierra,California,06,091,Sierra County,POINT (-120.485199 39.660118),75094
17,Sierra,California,06,091,Sierra County,POINT (-120.256897 39.657059),74602
18,Clinton,Kentucky,21,053,Clinton County,POINT (-85.043762 36.71804),32677
19,Hancock,Ohio,39,063,Hancock County,POINT (-83.693665 40.844772),63407
20,Hancock,Ohio,39,063,Hancock County,POINT (-83.867554 41.090389),65989
21,Hancock,Ohio,39,063,Hancock County,POINT (-83.62091100000001 40.83622),63410
22,Hale,Texas,48,189,Hale County,POINT (-101.836823 34.295345),14656
23,Hale,Texas,48,189,Hale County,POINT (-101.64151 34.087051),14070
24,Hale,Texas,48,189,Hale County,POINT (-101.789459 34.26152),14580
25,Clay,Alabama,01,027,Clay County,POINT (-86.003204 33.273392),12839
26,Armstrong,Texas,48,011,Armstrong County,POINT (-101.333374 34.929729),17372
27,Armstrong,Texas,48,011,Armstrong County,POINT (-101.529358 34.863728),17023
28,Armstrong,Texas,48,011,Armstrong County,POINT (-101.449402 34.978405),17781
29,Allen,Ohio,39,003,Allen County,POINT (-83.90252700000001 40.793919),62482
30,Allen,Ohio,39,003,Allen County,POINT (-83.992188 40.841759),62980
31,Allen,Ohio,39,003,Allen County,POINT (-84.190918 40.714146),61069
32,McDuffie,Georgia,13,189,McDuffie County,POINT (-82.329285 33.350677),14292
33,Sauk,Wisconsin,55,111,Sauk County,POINT (-89.803375 43.431221),88564
34,Sauk,Wisconsin,55,111,Sauk County,POINT (-89.620422 43.458111),89099
35,Sauk,Wisconsin,55,111,Sauk County,POINT (-89.64801 43.441032),88839
36,Stone,Arkansas,05,137,Stone County,POINT (-92.36019899999999 35.870819),22913
37,Stone,Arkansas,05,137,Stone County,POINT (-92.38385 35.853294),22802
38,Stone,Arkansas,05,137,Stone County,POINT (-92.361237 35.852467),22803
39,Wallowa,Oregon,41,063,Wallowa County,POINT (-117.078415 45.316387),116451
40,Wallowa,Oregon,41,063,Wallowa County,POINT (-117.085312 45.334373),116568
41,Wallowa,Oregon,41,063,Wallowa County,POINT (-117.007355 45.561295),117442
42,Beaver,Pennsylvania,42,007,Beaver County,POINT (-80.500305 40.570904),64971
43,Jasper,Mississippi,28,061,Jasper County,POINT (-89.161804 32.182022),10298
44,Henry,Missouri,29,083,Henry County,POINT (-93.909119 38.497272),40366
45,Henry,Missouri,29,083,Henry County,POINT (-93.932129 38.516228),40451
46,Henry,Missouri,29,083,Henry County,POINT (-93.88610799999999 38.478306),40281
